entry,exit,PnL,holding_h,equity,tradeDD,cummax,drawdown
2024-07-19 05:00:00,2024-07-22 23:00:00,18.183557045195137,90.0,772.4092309884771,-23.100000000001362,772.4092309884771,0.0
2024-07-24 05:00:00,2024-07-25 05:00:00,-28.359902546086737,24.0,744.0493284423904,-36.09999999999994,772.4092309884771,-28.359902546086687
2024-08-01 05:00:00,2024-08-01 08:00:00,-37.99999999999906,3.0,706.0493284423914,-37.99999999999906,772.4092309884771,-66.35990254608578
2024-08-01 11:00:00,2024-08-07 02:00:00,21.62444741549698,135.0,727.6737758578884,0.0,772.4092309884771,-44.735455130588775
2024-08-13 12:00:00,2024-08-14 02:00:00,-34.18370973659649,14.0,693.4900661212919,-38.99999999999895,772.4092309884771,-78.91916486718526
2024-08-21 09:00:00,2024-08-29 09:00:00,21.102278607329804,192.0,714.5923447286217,-1.4999999999997449,772.4092309884771,-57.81688625985544
2024-08-29 11:00:00,2024-08-30 08:00:00,15.187129914170134,21.0,729.7794746427918,-16.200000000000568,772.4092309884771,-42.62975634568534
2024-09-03 10:00:00,2024-09-04 04:00:00,26.397702678153287,18.0,756.1771773209451,-18.600000000000747,772.4092309884771,-16.232053667532
2024-09-05 10:00:00,2024-09-05 22:00:00,18.390558419668363,12.0,774.5677357406134,-14.199999999998568,774.5677357406134,0.0
2024-09-06 04:00:00,2024-09-06 08:00:00,-20.267945871460793,4.0,754.2997898691526,-40.30000000000081,774.5677357406134,-20.267945871460824
2024-09-06 09:00:00,2024-09-06 11:00:00,-39.20000000000026,2.0,715.0997898691523,-39.20000000000026,774.5677357406134,-59.4679458714611
2024-09-06 12:00:00,2024-09-11 08:00:00,24.048226321086545,116.0,739.1480161902389,-19.900000000000382,774.5677357406134,-35.419719550374566
2024-09-16 06:00:00,2024-09-17 12:00:00,-27.97033710151693,30.0,711.1776790887219,-33.80000000000041,774.5677357406134,-63.39005665189154
2024-09-20 02:00:00,2024-09-25 00:00:00,16.241770983310644,118.0,727.4194500720325,-25.600000000002197,774.5677357406134,-47.14828566858091
2024-09-25 05:00:00,2024-09-26 05:00:00,14.976290725988907,24.0,742.3957407980214,-26.30000000000012,774.5677357406134,-32.17199494259205
2024-09-30 05:00:00,2024-09-30 10:00:00,-45.397451719390034,5.0,696.9982890786314,-50.79999999999853,774.5677357406134,-77.56944666198206
2024-10-03 01:00:00,2024-10-04 10:00:00,42.71831414982012,33.0,739.7166032284515,0.0,774.5677357406134,-34.85113251216194
2024-10-10 02:00:00,2024-10-10 10:00:00,17.64774133189105,8.0,757.3643445603426,-21.29999999999845,774.5677357406134,-17.20339118027084
2024-10-22 05:00:00,2024-10-22 15:00:00,-28.28415096421196,10.0,729.0801935961306,-34.700000000001864,774.5677357406134,-45.48754214448286
2024-10-23 04:00:00,2024-10-23 11:00:00,-23.973511032851818,7.0,705.1066825632788,-32.50000000000299,774.5677357406134,-69.46105317733463
2024-10-29 05:00:00,2024-10-30 05:00:00,-28.955489871912057,24.0,676.1511926913668,-40.69999999999898,774.5677357406134,-98.41654304924668
2024-11-05 16:00:00,2024-11-11 23:00:00,19.519275885810146,151.0,695.670468577177,-7.599999999999739,774.5677357406134,-78.89726716343648
2024-11-12 09:00:00,2024-11-14 10:00:00,20.41042957366275,49.0,716.0808981508397,0.0,774.5677357406134,-58.4868375897737
2024-11-15 02:00:00,2024-11-18 22:00:00,24.630935940676714,92.0,740.7118340915165,-3.499999999999525,774.5677357406134,-33.85590164909695
2024-11-19 08:00:00,2024-11-19 11:00:00,-21.44998330663786,3.0,719.2618507848787,-30.600000000001646,774.5677357406134,-55.30588495573477
2024-11-20 02:00:00,2024-11-21 09:00:00,26.175682732452167,31.0,745.4375335173308,-17.900000000000603,774.5677357406134,-29.130202223282595
2024-11-22 02:00:00,2024-11-22 10:00:00,-14.737567801284577,8.0,730.6999657160462,-31.09999999999826,774.5677357406134,-43.86777002456722
2024-11-25 03:00:00,2024-11-26 18:00:00,15.236210184893107,39.0,745.9361759009394,0.0,774.5677357406134,-28.631559839674082
2024-11-27 07:00:00,2024-11-29 08:00:00,18.23641427896115,49.0,764.1725901799005,-11.300000000001774,774.5677357406134,-10.39514556071299
2024-11-29 14:00:00,2024-12-02 11:00:00,16.751219002183518,69.0,780.9238091820839,-9.900000000001484,780.9238091820839,0.0
2024-12-09 02:00:00,2024-12-13 02:00:00,-25.590320839730886,96.0,755.333488342353,-31.999999999999716,780.9238091820839,-25.590320839730907
2024-12-13 03:00:00,2024-12-16 07:00:00,19.540760283980788,76.0,774.8742486263338,-3.300000000000435,780.9238091820839,-6.049560555750077
2024-12-19 03:00:00,2024-12-19 08:00:00,-37.44118690770585,5.0,737.433061718628,-47.80000000000109,780.9238091820839,-43.49074746345593
2024-12-19 09:00:00,2024-12-20 12:00:00,16.71069854930984,27.0,754.1437602679379,0.0,780.9238091820839,-26.78004891414605
