entry,exit,PnL,holding_h,equity,tradeDD
2024-04-01 10:00:00,2024-04-02 05:00:00,19.857976086565266,19.0,437.3078500374393,-13.800000000002608
2024-04-02 09:00:00,2024-04-03 21:00:00,14.953969979771486,36.0,452.2618200172108,-23.100000000001362
2024-04-05 03:00:00,2024-04-08 04:00:00,17.27443443463285,73.0,469.53625445184366,-15.299999999999113
2024-04-09 05:00:00,2024-04-10 10:00:00,38.30260950587821,29.0,507.83886395772186,-3.60000000000018
2024-04-17 02:00:00,2024-04-17 09:00:00,20.910978795929992,7.0,528.7498427536518,-25.799999999999066
2024-04-19 10:00:00,2024-04-30 05:00:00,22.221641154633694,259.0,550.9714839082856,-81.50000000000203
2024-05-01 08:00:00,2024-05-09 06:00:00,20.465275165478374,190.0,571.4367590737639,-16.899999999998492
2024-05-10 02:00:00,2024-05-13 03:00:00,21.24390075081789,73.0,592.6806598245819,-18.799999999999837
2024-05-13 11:00:00,2024-05-14 06:00:00,16.494595697796708,19.0,609.1752555223786,-21.599999999998197
2024-05-15 04:00:00,2024-05-17 03:00:00,15.75021568830152,47.0,624.9254712106801,-2.39999999999898
2024-05-17 06:00:00,2024-05-23 08:00:00,14.800859102315208,146.0,639.7263303129954,-2.60000000000029
2024-05-24 08:00:00,2024-05-24 12:00:00,23.597550561805473,4.0,663.3238808748009,-25.199999999999577
2024-05-27 08:00:00,2024-05-28 03:00:00,26.195990337137655,19.0,689.5198712119386,-15.399999999999768
2024-05-30 02:00:00,2024-05-30 11:00:00,17.734315669870945,9.0,707.2541868818096,-12.100000000000353
2024-05-31 03:00:00,2024-05-31 15:00:00,25.077097460373494,12.0,732.331284342183,-10.899999999999153
2024-06-05 07:00:00,2024-06-06 06:00:00,14.50986186855291,23.0,746.8411462107359,-18.799999999999837
2024-06-09 17:00:00,2024-06-12 15:00:00,34.58918595394578,70.0,781.4303321646817,-4.700000000000725
2024-06-13 13:00:00,2024-06-14 08:00:00,14.6235395840763,19.0,796.053871748758,-17.799999999999947
2024-06-17 05:00:00,2024-06-18 14:00:00,14.586088928793615,33.0,810.6399606775516,-21.600000000000417
2024-06-19 02:00:00,2024-06-19 13:00:00,32.48032076201244,11.0,843.120281439564,-23.100000000001362
2024-06-20 22:00:00,2024-06-24 15:00:00,18.803108903751834,89.0,861.9233903433159,-21.29999999999845
2024-06-25 04:00:00,2024-06-28 03:00:00,17.567876627072707,71.0,879.4912669703886,-36.89999999999851
2024-06-28 10:00:00,2024-07-04 12:00:00,24.95655434566256,146.0,904.4478213160511,-41.49999999999979
2024-07-05 07:00:00,2024-07-08 22:00:00,16.04734577859447,87.0,920.4951670946456,0.0
2024-07-10 09:00:00,2024-07-15 10:00:00,23.39250837414821,121.0,943.8876754687938,-0.5999999999982897
2024-07-17 02:00:00,2024-07-17 12:00:00,31.134841257934504,10.0,975.0225167267282,-17.799999999999947
2024-07-19 05:00:00,2024-07-22 23:00:00,18.183557045195137,90.0,993.2060737719233,-23.100000000001362
2024-07-24 05:00:00,2024-07-28 20:00:00,19.020037813746686,111.0,1012.2261115856701,-72.40000000000016
2024-08-01 05:00:00,2024-08-01 09:00:00,33.27015537892254,4.0,1045.4962669645927,-41.69999999999887
2024-08-01 11:00:00,2024-08-07 02:00:00,21.62444741549698,135.0,1067.1207143800896,0.0
2024-08-13 12:00:00,2024-08-15 05:00:00,14.560707607020328,41.0,1081.6814219871098,-61.4999999999998
2024-08-21 09:00:00,2024-08-29 09:00:00,21.102278607329804,192.0,1102.7837005944396,-1.4999999999997449
2024-08-29 11:00:00,2024-08-30 08:00:00,15.187129914170134,21.0,1117.9708305086097,-16.200000000000568
2024-09-03 10:00:00,2024-09-04 04:00:00,26.397702678153287,18.0,1144.368533186763,-18.600000000000747
2024-09-05 10:00:00,2024-09-05 22:00:00,18.390558419668363,12.0,1162.7590916064314,-14.199999999998568
2024-09-06 04:00:00,2024-09-11 08:00:00,36.08512775841953,124.0,1198.844219364851,-40.30000000000081
2024-09-16 06:00:00,2024-09-18 02:00:00,15.736669667277564,44.0,1214.5808890321284,-36.09999999999994
2024-09-20 02:00:00,2024-09-25 00:00:00,16.241770983310644,118.0,1230.8226600154392,-25.600000000002197
2024-09-25 05:00:00,2024-09-26 05:00:00,14.976290725988907,24.0,1245.7989507414281,-26.30000000000012
2024-09-30 05:00:00,2024-10-02 04:00:00,14.711660816750925,47.0,1260.510611558179,-50.79999999999853
2024-10-03 01:00:00,2024-10-04 10:00:00,42.71831414982012,33.0,1303.2289257079992,0.0
2024-10-10 02:00:00,2024-10-10 10:00:00,17.64774133189105,8.0,1320.8766670398902,-21.29999999999845
2024-10-22 05:00:00,2024-10-24 03:00:00,16.640360924367773,46.0,1337.517027964258,-43.70000000000087
2024-10-29 05:00:00,2024-11-04 05:00:00,27.479530769478046,144.0,1364.996558733736,-183.49999999999966
2024-11-05 16:00:00,2024-11-11 23:00:00,19.519275885810146,151.0,1384.5158346195462,-7.599999999999739
2024-11-12 09:00:00,2024-11-14 10:00:00,20.41042957366275,49.0,1404.926264193209,0.0
2024-11-15 02:00:00,2024-11-18 22:00:00,24.630935940676714,92.0,1429.5572001338855,-3.499999999999525
2024-11-19 08:00:00,2024-11-21 09:00:00,19.479929650069675,49.0,1449.0371297839552,-73.80000000000045
2024-11-22 02:00:00,2024-11-22 13:00:00,33.27521864128366,11.0,1482.3123484252387,-31.89999999999906
2024-11-25 03:00:00,2024-11-26 18:00:00,15.236210184893107,39.0,1497.5485586101317,0.0
2024-11-27 07:00:00,2024-11-29 08:00:00,18.23641427896115,49.0,1515.7849728890928,-11.300000000001774
2024-11-29 14:00:00,2024-12-02 11:00:00,16.751219002183518,69.0,1532.5361918912763,-9.900000000001484
2024-12-09 02:00:00,2024-12-16 07:00:00,17.13335836033273,173.0,1549.669550251609,-86.59999999999992
2024-12-19 03:00:00,2024-12-20 12:00:00,23.604289529543003,33.0,1573.273839781152,-126.90000000000192
